runId,taskId,model,thinking,status,durationSeconds,totalTokens,input,output,cacheRead,cacheWrite,costTotal,assistantTurns,filesChanged,added,deleted,testExitCode,selfAnalysisOk
js-date-range-bugfix__off__r1,js-date-range-bugfix,openai-codex/gpt-5.5,off,pass,15.138,11433,4288,1001,6144,0,0,5,1,19,10,0,
js-date-range-bugfix__minimal__r1,js-date-range-bugfix,openai-codex/gpt-5.5,minimal,pass,25.274,11387,5048,1219,5120,0,0,5,1,25,11,0,
js-date-range-bugfix__low__r1,js-date-range-bugfix,openai-codex/gpt-5.5,low,pass,11.278,10179,3962,585,5632,0,0,5,1,16,7,0,
js-date-range-bugfix__medium__r1,js-date-range-bugfix,openai-codex/gpt-5.5,medium,pass,18.022,12322,7184,1042,4096,0,0,5,1,19,10,0,
js-date-range-bugfix__high__r1,js-date-range-bugfix,openai-codex/gpt-5.5,high,pass,46.475,28531,7628,2471,18432,0,0,8,1,25,14,0,
js-lru-feature__off__r1,js-lru-feature,openai-codex/gpt-5.5,off,pass,15.479,10826,3718,964,6144,0,0,5,1,30,6,0,
js-lru-feature__minimal__r1,js-lru-feature,openai-codex/gpt-5.5,minimal,pass,14.441,10500,5032,860,4608,0,0,5,1,30,6,0,
js-lru-feature__low__r1,js-lru-feature,openai-codex/gpt-5.5,low,pass,16.834,11996,4768,1084,6144,0,0,5,1,82,6,0,
js-lru-feature__medium__r1,js-lru-feature,openai-codex/gpt-5.5,medium,pass,16.073,12018,5532,1366,5120,0,0,5,1,86,6,0,
js-lru-feature__high__r1,js-lru-feature,openai-codex/gpt-5.5,high,pass,19.223,11563,4194,1225,6144,0,0,5,1,27,6,0,
js-markdown-refactor__off__r1,js-markdown-refactor,openai-codex/gpt-5.5,off,pass,38.859,31257,10925,2412,17920,0,0,9,1,80,5,0,
js-markdown-refactor__minimal__r1,js-markdown-refactor,openai-codex/gpt-5.5,minimal,pass,31.372,19952,6422,1754,11776,0,0,6,1,81,4,0,
js-markdown-refactor__low__r1,js-markdown-refactor,openai-codex/gpt-5.5,low,pass,26.846,16643,4849,1554,10240,0,0,7,1,84,3,0,
js-markdown-refactor__medium__r1,js-markdown-refactor,openai-codex/gpt-5.5,medium,pass,53.268,32883,8606,2773,21504,0,0,10,1,79,4,0,
js-markdown-refactor__high__r1,js-markdown-refactor,openai-codex/gpt-5.5,high,pass,69.795,35888,8789,4059,23040,0,0,8,1,105,4,0,
js-workflow-orchestrator-open-ended__off__r1,js-workflow-orchestrator-open-ended,openai-codex/gpt-5.5,off,pass,378.419,133468,18450,9546,105472,0,0,14,3,580,12,0,
js-workflow-orchestrator-open-ended__minimal__r1,js-workflow-orchestrator-open-ended,openai-codex/gpt-5.5,minimal,pass,79.347,69188,11758,5718,51712,0,0,11,2,299,6,0,
js-workflow-orchestrator-open-ended__low__r1,js-workflow-orchestrator-open-ended,openai-codex/gpt-5.5,low,pass,56.712,50423,10697,5422,34304,0,0,9,2,305,6,0,
js-workflow-orchestrator-open-ended__medium__r1,js-workflow-orchestrator-open-ended,openai-codex/gpt-5.5,medium,pass,245.424,140251,26508,9295,104448,0,0,15,2,516,6,0,
js-workflow-orchestrator-open-ended__high__r1,js-workflow-orchestrator-open-ended,openai-codex/gpt-5.5,high,timeout,908.696,2837,1680,133,1024,0,0,2,3,845,13,1,
js-data-quality-profiler-open-ended__off__r1,js-data-quality-profiler-open-ended,openai-codex/gpt-5.5,off,pass,519.593,108124,17145,8547,82432,0,0,13,3,527,12,0,
js-data-quality-profiler-open-ended__minimal__r1,js-data-quality-profiler-open-ended,openai-codex/gpt-5.5,minimal,pass,83.885,33939,9175,4796,19968,0,0,7,3,242,13,0,
js-data-quality-profiler-open-ended__low__r1,js-data-quality-profiler-open-ended,openai-codex/gpt-5.5,low,pass,68.826,46232,15338,4270,26624,0,0,9,2,241,13,0,
js-data-quality-profiler-open-ended__medium__r1,js-data-quality-profiler-open-ended,openai-codex/gpt-5.5,medium,pass,312.259,68107,14888,6627,46592,0,0,10,3,414,13,0,
js-data-quality-profiler-open-ended__high__r1,js-data-quality-profiler-open-ended,openai-codex/gpt-5.5,high,pi_fail,448.074,2821,1666,131,1024,0,0,2,0,0,0,1,
js-agent-session-inspector-open-ended__off__r1,js-agent-session-inspector-open-ended,openai-codex/gpt-5.5,off,pass,553.599,73326,14045,7569,51712,0,0,9,2,472,10,0,false
js-agent-session-inspector-open-ended__minimal__r1,js-agent-session-inspector-open-ended,openai-codex/gpt-5.5,minimal,pass,62.141,19820,6760,3844,9216,0,0,5,1,197,10,0,false
js-agent-session-inspector-open-ended__low__r1,js-agent-session-inspector-open-ended,openai-codex/gpt-5.5,low,pass,53.466,32196,7795,3921,20480,0,0,7,1,177,12,0,false
js-agent-session-inspector-open-ended__medium__r1,js-agent-session-inspector-open-ended,openai-codex/gpt-5.5,medium,pass,644.523,66385,14851,6990,44544,0,0,9,1,516,10,0,false
js-agent-session-inspector-open-ended__high__r1,js-agent-session-inspector-open-ended,openai-codex/gpt-5.5,high,timeout,1462.285,5646,2922,676,2048,0,0,3,2,856,10,0,false
